지역명,영업상태구분코드 예측값,영업상태구분
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
경기도,1,영업
경상북도,1,영업
경상남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
경상북도,1,영업
인천광역시,1,영업
경상남도,1,영업
경기도,1,영업
경상남도,1,영업
경상북도,1,영업
충청북도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
전라남도,1,영업
전라북도,1,영업
충청남도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
충청남도,1,영업
충청남도,1,영업
경상남도,1,영업
충청남도,1,영업
경상북도,1,영업
충청남도,1,영업
경상남도,1,영업
경상남도,1,영업
충청남도,1,영업
충청남도,1,영업
경상남도,1,영업
경기도,1,영업
강원도,1,영업
강원도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
전라북도,1,영업
경상북도,1,영업
경상남도,1,영업
경상남도,1,영업
인천광역시,1,영업
경상남도,1,영업
경상남도,1,영업
경상북도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
경상남도,1,영업
충청남도,1,영업
경상북도,1,영업
울산광역시,1,영업
울산광역시,1,영업
경기도,1,영업
전라남도,1,영업
충청남도,1,영업
경상남도,1,영업
강원도,1,영업
강원도,1,영업
경상남도,1,영업
강원도,1,영업
경상북도,1,영업
경상북도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
충청남도,1,영업
전라북도,1,영업
경기도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
울산광역시,1,영업
울산광역시,1,영업
경상북도,1,영업
경상북도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
충청남도,1,영업
충청남도,1,영업
경상남도,1,영업
충청남도,1,영업
전라남도,1,영업
강원도,1,영업
충청남도,1,영업
충청남도,1,영업
강원도,1,영업
경기도,1,영업
충청남도,1,영업
경상남도,1,영업
경상북도,1,영업
경상북도,1,영업
인천광역시,1,영업
경기도,1,영업
경상북도,1,영업
충청남도,1,영업
충청북도,1,영업
전라북도,1,영업
전라남도,1,영업
강원도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
전라남도,1,영업
충청남도,1,영업
충청남도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
인천광역시,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
전라북도,1,영업
경상남도,1,영업
전라남도,1,영업
경기도,1,영업
경상남도,1,영업
전라남도,1,영업
전라남도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상남도,1,영업
충청남도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
전라남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
전라남도,1,영업
전라남도,1,영업
경기도,1,영업
전라남도,1,영업
인천광역시,1,영업
경상남도,1,영업
경기도,1,영업
강원도,1,영업
경상북도,1,영업
강원도,1,영업
경상남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
경상남도,1,영업
경상북도,1,영업
부산광역시,1,영업
전라남도,1,영업
경기도,1,영업
충청북도,1,영업
강원도,1,영업
경상북도,1,영업
경기도,1,영업
경기도,1,영업
충청남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상북도,1,영업
충청북도,1,영업
인천광역시,1,영업
강원도,1,영업
인천광역시,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
경상북도,1,영업
전라북도,1,영업
강원도,1,영업
전라남도,1,영업
경기도,1,영업
경상북도,1,영업
경기도,1,영업
충청남도,1,영업
경상북도,1,영업
경상남도,1,영업
강원도,1,영업
경기도,1,영업
충청남도,1,영업
경상북도,1,영업
경상북도,1,영업
전라북도,1,영업
경상남도,1,영업
전라남도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
전라남도,1,영업
전라남도,1,영업
경상북도,1,영업
경상남도,1,영업
충청남도,1,영업
전라남도,1,영업
경기도,1,영업
인천광역시,1,영업
경상남도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경기도,1,영업
경기도,1,영업
강원도,1,영업
울산광역시,1,영업
경상북도,1,영업
전라남도,1,영업
충청남도,1,영업
전라북도,1,영업
인천광역시,1,영업
경상남도,1,영업
전라남도,1,영업
전라남도,1,영업
강원도,1,영업
전라북도,1,영업
강원도,1,영업
전라북도,1,영업
경상남도,1,영업
전라북도,1,영업
경상남도,1,영업
강원도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경상남도,1,영업
경기도,1,영업
충청남도,1,영업
충청남도,1,영업
전라남도,1,영업
전라남도,1,영업
충청남도,1,영업
충청남도,1,영업
강원도,1,영업
강원도,1,영업
경상남도,1,영업
충청남도,1,영업
충청남도,1,영업
전라북도,1,영업
전라북도,1,영업
전라북도,1,영업
경상남도,1,영업
충청남도,1,영업
경기도,1,영업
경상남도,1,영업
강원도,1,영업
전라북도,1,영업
전라남도,1,영업
경상남도,1,영업
전라남도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상북도,1,영업
경상남도,1,영업
경상북도,1,영업
강원도,1,영업
강원도,1,영업
충청남도,1,영업
인천광역시,1,영업
인천광역시,1,영업
충청남도,1,영업
전라남도,1,영업
경상북도,1,영업
경상남도,1,영업
경상남도,1,영업
충청남도,1,영업
경상남도,1,영업
강원도,1,영업
인천광역시,1,영업
인천광역시,1,영업
전라남도,1,영업
전라남도,1,영업
전라남도,1,영업
경상북도,1,영업
경상북도,1,영업
충청북도,1,영업
경상북도,1,영업
경상북도,1,영업
부산광역시,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
경기도,1,영업
전라북도,1,영업
인천광역시,1,영업
충청남도,1,영업
경상남도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
인천광역시,1,영업
강원도,1,영업
충청남도,1,영업
경상남도,1,영업
경상북도,1,영업
강원도,1,영업
전라남도,1,영업
경상북도,1,영업
경상북도,1,영업
경기도,1,영업
경상북도,1,영업
강원도,1,영업
강원도,1,영업
전라북도,1,영업
충청북도,1,영업
충청북도,1,영업
충청북도,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
인천광역시,1,영업
경상남도,1,영업
경기도,1,영업
경상북도,1,영업
경상북도,1,영업
경상남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
경기도,1,영업
전라북도,1,영업
강원도,1,영업
경기도,1,영업
경기도,1,영업
경상남도,1,영업
경상남도,1,영업
강원도,1,영업
전라남도,1,영업
경상북도,1,영업
경상남도,1,영업
경기도,1,영업
강원도,1,영업
강원도,1,영업
전라남도,1,영업
전라남도,1,영업
경상남도,1,영업
강원도,1,영업
경기도,1,영업
충청남도,1,영업
충청남도,1,영업
충청남도,1,영업
경기도,1,영업
부산광역시,1,영업
전라북도,1,영업
전라북도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
전라남도,1,영업
경상남도,1,영업
울산광역시,1,영업
울산광역시,1,영업
전라남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
경상남도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
강원도,1,영업
부산광역시,1,영업
부산광역시,1,영업
부산광역시,1,영업
충청북도,1,영업
충청북도,1,영업
충청북도,1,영업
충청남도,1,영업
충청남도,1,영업
경상남도,1,영업
